i=0 x=-0,08510251338522; y=0,492704335494948
i=1 x=-0,075607484313826; y=0,494250451002055
i=2 x=-0,0660210427913425; y=0,495622055510793
i=3 x=-0,0563567668633585; y=0,496813762720709
i=4 x=-0,0466282452728435; y=0,497821058958714
i=5 x=-0,0368489412046253; y=0,498640306766409
i=6 x=-0,158198144114311; y=0,474313553673925
i=7 x=-0,149529992451082; y=0,477117156846806
i=8 x=-0,140663550033287; y=0,479805966711579
i=9 x=-0,131607568179585; y=0,482368581064165
i=10 x=-0,122372178427969; y=0,484793822100482
i=11 x=-0,112968785085889; y=0,487070891756239
i=12 x=-0,103409923016002; y=0,489189521373695
i=13 x=-0,0937090869489844; y=0,491140109361054
i=14 x=-0,0838805404946738; y=0,49291384128093
i=15 x=-0,0739391141441934; y=0,494502788060464
i=16 x=-0,063900001769991; y=0,495899979606569
i=17 x=-0,0537785644800143; y=0,497099452828575
i=18 x=-0,0435901493320464; y=0,498096274711235
i=19 x=-0,0333499285458437; y=0,498886542478335
i=20 x=-0,0230727627949555; y=0,49946736391581
i=21 x=-0,0127730901198981; y=0,49983682154158
i=22 x=-0,224124292232728; y=0,446954473779129
i=23 x=-0,21698253391841; y=0,450464848766633
i=24 x=-0,209603804381808; y=0,453945200645048
i=25 x=-0,201985519657719; y=0,457385887242492
i=26 x=-0,194126226496255; y=0,460776527382119
i=27 x=-0,186025758751444; y=0,46410604077188
i=28 x=-0,177685383624899; y=0,467362711869563
i=29 x=-0,169107929471981; y=0,470534279505436
i=30 x=-0,160297886383944; y=0,473608052740703
i=31 x=-0,151261471036315; y=0,476571051764509
i=32 x=-0,14200664842296; y=0,479410170734495
i=33 x=-0,132543105188518; y=0,482112357513252
i=34 x=-0,122882172205655; y=0,4846648035024
i=35 x=-0,113036697526387; y=0,487055135495283
i=36 x=-0,103020874539663; y=0,489271600860997
i=37 x=-0,0928500335327071; y=0,491303237596675
i=38 x=-0,0825404074853847; y=0,493140021831677
i=39 x=-0,0721088844395683; y=0,494772987121246
i=40 x=-0,061572758999902; y=0,496194312088661
i=41 x=-0,0509494945535152; y=0,497397375349671
i=42 x=-0,0402565057681413; y=0,498376778896589
i=43 x=-0,0295109683108794; y=0,499128342963365
i=44 x=-0,0187296598592955; y=0,499649076694389
i=45 x=-0,00792883373692388; y=0,49993712964289
i=46 x=0,0028758757986834; y=0,499991729269986
i=47 x=0,0136695193541158; y=0,499813109312498
