i=0 x=0,164835446786443; y=4,04245928304978
i=1 x=0,173541802508711; y=4,02157640603018
i=2 x=0,181997519176545; y=4,00046390922174
i=3 x=0,190189935714608; y=3,97914551791011
i=4 x=0,198107897524529; y=3,95764464820984
i=5 x=0,205741765049977; y=3,93598415750435
i=6 x=0,0857172683904067; y=4,20277885558764
i=7 x=0,0963101771966284; y=4,18377464651503
i=8 x=0,106786810034543; y=4,16434006893813
i=9 x=0,117124743030133; y=4,14449154769578
i=10 x=0,127301675156419; y=4,12424800237043
i=11 x=0,137295737655805; y=4,10363058951494
i=12 x=0,147085796534648; y=4,08266237936433
i=13 x=0,156651734307632; y=4,06136798194311
i=14 x=0,165974698458054; y=4,03977314099172
i=15 x=0,175037306495921; y=4,01790431594936
i=16 x=0,183823800768453; y=3,99578827208983
i=17 x=0,192320149865417; y=3,97345169696766
i=18 x=0,20051409709993; y=3,95092085800018
i=19 x=0,208395159779253; y=3,92822131170535
i=20 x=0,215954585464011; y=3,90537767055468
i=21 x=0,223185273045501; y=3,88241342900825
i=22 x=-0,00752108632060691; y=4,34771855283039
i=23 x=0,00376770240765966; y=4,33196584691744
i=24 x=0,0151045319774263; y=4,31570679088102
i=25 x=0,0264728701488465; y=4,29893584647364
i=26 x=0,0378545495830084; y=4,28164974343837
i=27 x=0,0492298101715645; y=4,26384777372445
i=28 x=0,0605773895277718; y=4,2455320588268
i=29 x=0,0718746665976265; y=4,22670777319913
i=30 x=0,0830978608238572; y=4,2073833061253
i=31 x=0,0942222858661067; y=4,18757034554448
i=32 x=0,105222652864339; y=4,1672838702286
i=33 x=0,116073413925245; y=4,14654204157743
i=34 x=0,126749132469765; y=4,12536599279239
i=35 x=0,137224863915468; y=4,10377952063465
i=36 x=0,147476528328148; y=4,08180869263511
i=37 x=0,157481256621895; y=4,05948138931698
i=38 x=0,167217693642083; y=4,03682680591839
i=39 x=0,176666244874957; y=4,01387494051874
i=40 x=0,185809258133102; y=3,99065609509119
i=41 x=0,19463113666868; y=3,96720041317269
i=42 x=0,20311838519758; y=3,94353747289637
i=43 x=0,211259594592406; y=3,91969594812818
i=44 x=0,219045374189511; y=3,8957033441131
i=45 x=0,22646824256358; y=3,87158580816958
i=46 x=0,23352248826911; y=3,84736801118671
i=47 x=0,240204011667815; y=3,82307309213878
i=48 x=-0,105941884239065; y=4,46942199304159
i=49 x=-0,0950322852084172; y=4,45714562869351
i=50 x=-0,08397893436432; y=4,44442710454735
i=51 x=-0,0727871896947464; y=4,43125056891916
i=52 x=-0,0614635838100676; y=4,41760032597212
i=53 x=-0,0500159512660797; y=4,40346102205376
i=54 x=-0,0384535583305367; y=4,38881786550216
i=55 x=-0,0267872313546922; y=4,37365688136697
i=56 x=-0,0150294786738414; y=4,35796520105994
i=57 x=-0,00319459959625147; y=4,34173138491116
i=58 x=0,00870122732313565; y=4,32494577294892
i=59 x=0,0206398857441478; y=4,30760085595864
i=60 x=0,0326013026194214; y=4,28969165513248
i=61 x=0,0445634789823564; y=4,27121609472045
i=62 x=0,0565025798978117; y=4,25217534835321
i=63 x=0,0683930911791973; y=4,23257413685512
i=64 x=0,0802080473583034; y=4,21242095393473
i=65 x=0,0919193309635287; y=4,19172819687634
i=66 x=0,103498037664935; y=4,17051218277615
i=67 x=0,114914895879165; y=4,14879303699659
i=68 x=0,12614072361017; y=4,12659444927232
i=69 x=0,137146900666249; y=4,1039433031755
i=70 x=0,147905831618254; y=4,08086919540775
i=71 x=0,158391374663618; y=4,0574038708603
i=72 x=0,168579214014016; y=4,03358060631827
i=73 x=0,178447158277118; y=4,00943357897883
i=74 x=0,187975353849889; y=3,98499725519448
i=75 x=0,197146409566874; y=3,96030583045751
i=76 x=0,20594543576203; y=3,93539274448161
i=77 x=0,214360006642209; y=3,91029028661971
i=78 x=0,22238005890936; y=3,88502929806652
i=79 x=0,229997741716642; y=3,85963896944541
i=80 x=0,237207233429936; y=3,83414672622187
i=81 x=0,244004539658441; y=3,80857819018026
i=82 x=0,250387285045706; y=3,78295720297698
i=83 x=0,256354508841361; y=3,75730589721243
i=84 x=-0,203011984089546; y=4,56794417457188
i=85 x=-0,193037838244957; y=4,55862705894109
i=86 x=-0,182890302887694; y=4,54897168903616
i=87 x=-0,172568530173574; y=4,53896320510566
i=88 x=-0,162072105052113; y=4,52858616099094
i=89 x=-0,151401117289838; y=4,51782453896628
i=90 x=-0,140556242746991; y=4,5066617759747
i=91 x=-0,129538834679394; y=4,49508080391766
i=92 x=-0,118351025747774; y=4,48306410708043
i=93 x=-0,106995841233584; y=4,47059380019104
i=94 x=-0,0954773236607167; y=4,45765173099127
i=95 x=-0,0838006685965202; y=4,44421961152173
i=96 x=-0,0719723707947229; y=4,43027918250041
i=97 x=-0,0600003789889188; y=4,41581241508988
i=98 x=-0,0478942565822031; y=4,4008017539639
i=99 x=-0,0356653441107316; y=4,38523040467889
i=100 x=-0,0233269177336113; y=4,36908266682184
i=101 x=-0,0108943361668952; y=4,35234431210253
i=102 x=0,00161483347986363; y=4,33500300334084
i=103 x=0,0141807223771545; y=4,31704874616876
i=104 x=0,0267811120929949; y=4,29847436030323
i=105 x=0,0393914459082296; y=4,27927595172296
i=106 x=0,0519849127054317; y=4,25945336164688
i=107 x=0,0645326149420862; y=4,23901056346951
i=108 x=0,0770038284008209; y=4,21795597597277
i=109 x=0,0893663556884444; y=4,1963026610596
i=110 x=0,101586967988031; y=4,17406837799099
i=111 x=0,113631921133674; y=4,15127547394421
i=112 x=0,125467523730431; y=4,12795060240185
i=113 x=0,137060728093599; y=4,10412427533688
i=114 x=0,148379710616487; y=4,07983027032358
i=115 x=0,15939440765672; y=4,05510492739611
i=116 x=0,170076976530246; y=4,02998638033699
i=117 x=0,180402158237241; y=4,00451377156109
i=118 x=0,190347527972866; y=3,97872649834399
i=119 x=0,199893629806967; y=3,95266353132556
i=120 x=0,209024001533477; y=3,92636283564999
i=121 x=0,217725103404073; y=3,89986091264955
i=122 x=0,225986169501795; y=3,8731924677582
i=123 x=0,233799002776463; y=3,84639019981023
i=124 x=0,241157734550981; y=3,81948469905239
i=125 x=0,248058567238963; y=3,79250443636285
i=126 x=0,254499515820286; y=3,76547582405263
i=127 x=0,260480159942791; y=3,73842332875655
i=128 x=0,266001414888435; y=3,71136961859911
i=129 x=0,271065326405808; y=3,68433572939185
i=130 x=-0,295455856636538; y=4,64682233696475
i=131 x=-0,286610129558287; y=4,63981877705002
i=132 x=-0,277594110869342; y=4,63256812021306
i=133 x=-0,268404657334287; y=4,62505919506505
i=134 x=-0,259038705324676; y=4,61728025851081
i=135 x=-0,249493296561287; y=4,60921896997131
i=136 x=-0,239765607933625; y=4,60086236612827
i=137 x=-0,229852985986355; y=4,59219683674461
i=138 x=-0,219752986738491; y=4,58320810226867
i=139 x=-0,209463421583668; y=4,57388119411931
i=140 x=-0,198982410103922; y=4,56420043877651
i=141 x=-0,188308440711548; y=4,55414944707395
i=142 x=-0,177440440128472; y=4,54371111042978
i=143 x=-0,16637785275536; y=4,53286760611264
i=144 x=-0,155120731055389; y=4,52160041411002
i=145 x=-0,143669838069769; y=4,50989034865762
i=146 x=-0,132026763120142; y=4,49771760803665
i=147 x=-0,120194051643786; y=4,48506184687214
i=148 x=-0,108175349806819; y=4,47190227573015
i=149 x=-0,0959755641367558; y=4,45821779339798
i=150 x=-0,0836010357528652; y=4,44398715766131
i=151 x=-0,0710597278545248; y=4,42918920061983
i=152 x=-0,0583614238399002; y=4,41380309440081
i=153 x=-0,0455179318113673; y=4,39780867245697
i=154 x=-0,0325432891146726; y=4,38118681008194
i=155 x=-0,0194539581699597; y=4,3639198653321
i=156 x=-0,00626900204964814; y=4,34599217769722
i=157 x=0,00698977446969476; y=4,32739061681628
i=158 x=0,0202977352451598; y=4,30810516694199
i=159 x=0,0336273930494305; y=4,28812952533581
i=160 x=0,0469484787097815; y=4,26746168471235
i=161 x=0,0602281162332725; y=4,24610446248893
i=162 x=0,073431116634763; y=4,22406593424114
i=163 x=0,086520395742305; y=4,20135972724735
i=164 x=0,0994575111642011; y=4,17800513360105
i=165 x=0,112203301593269; y=4,15402701226987
i=166 x=0,124718599444498; y=4,12945546526254
i=167 x=0,136964977416795; y=4,10432529338269
i=168 x=0,148905483109524; y=4,07867525892237
i=169 x=0,160505314828901; y=4,05254720252965
i=170 x=0,171732396760907; y=4,02598507576337
i=171 x=0,182557822031605; y=3,99903395704989
i=172 x=0,192956146029013; y=3,97173911601351
i=173 x=0,202905527236974; y=3,9441451806298
i=174 x=0,212387726377178; y=3,91629544570036
i=175 x=0,221387984960481; y=3,88823134314458
i=176 x=0,22989481053995; y=3,8599920774409
i=177 x=0,237899698002597; y=3,83161441551082
i=178 x=1,72671384138145; y=1,31210618298878
i=179 x=1,72116936693279; y=1,29430783424104
i=180 x=1,71742289846405; y=1,2774770155114
i=181 x=1,71565145753997; y=1,26154057793606
i=182 x=1,71603340909158; y=1,24636608471141
i=183 x=1,71871303681124; y=1,23175386868225
i=184 x=1,72375970501304; y=1,21746017169127
i=185 x=1,73115494187673; y=1,20324742096932
i=186 x=1,74081790140193; y=1,18892511974518
i=187 x=1,75264209658149; y=1,17435983259104
i=188 x=1,76652027879031; y=1,15946534998384
i=189 x=-0,381920730651746; y=4,70989693374608
i=190 x=-0,374222432013789; y=4,70465722114115
i=191 x=-0,366369969812957; y=4,69923983787152
i=192 x=-0,358359652252702; y=4,69363689444072
i=193 x=-0,350187735581933; y=4,68784008208766
i=194 x=-0,341850430814646; y=4,68184064833737
i=195 x=-0,333343911853247; y=4,67562937125409
i=196 x=-0,324664325235663; y=4,66919653239335
i=197 x=-0,31580780176041; y=4,66253188847216
i=198 x=-0,306770470282762; y=4,65562464180555
i=199 x=-0,297548474020559; y=4,64846340959648
i=200 x=-0,288137989759981; y=4,6410361922157
i=201 x=-0,278535250411137; y=4,63333034067234
i=202 x=-0,26873657143139; y=4,62533252355808
i=203 x=-0,258738381711348; y=4,61702869385117
i=204 x=-0,248537259605464; y=4,60840405609777
i=205 x=-0,238129974886137; y=4,59944303465204
i=206 x=-0,227513537507032; y=4,59012924386057
i=207 x=-0,216685254176845; y=4,58044546132947
i=208 x=-0,205642793866631; y=4,5703736057226
i=209 x=-0,19438426349761; y=4,55989472091659
i=210 x=-0,182908295175211; y=4,54898896879284
i=211 x=-0,17121414643786; y=4,53763563348662
i=212 x=-0,159301815059596; y=4,52581314054537
i=213 x=-0,147172169960642; y=4,5134990951728
i=214 x=-0,13482709970731; y=4,50067034454277
i=215 x=-0,122269679877803; y=4,48730307003416
i=216 x=-0,109504360183424; y=4,47337291612343
i=217 x=-0,096537171565873; y=4,45885516346753
i=218 x=-0,0833759525300018; y=4,44372495437192
i=219 x=-0,0700305924958156; y=4,42795757905086
i=220 x=-0,0565132880273726; y=4,41152883077525
i=221 x=-0,0428388052101624; y=4,39441543670871
i=222 x=-0,0290247382741502; y=4,37659556869314
i=223 x=-0,0150917507873012; y=4,3580494339832
i=224 x=-0,00106378171392455; y=4,33875993976995
i=225 x=0,0130318054024715; y=4,31871341691642
i=226 x=0,0271641550814768; y=4,2979003780386
i=227 x=0,0412989608765176; y=4,27631627351495
i=228 x=0,0553986400145171; y=4,25396219754681
i=229 x=0,0694226620641002; y=4,23084548719039
i=230 x=0,0833280425908553; y=4,20698015279869
i=231 x=0,0970699989505468; y=4,18238708119166
i=232 x=0,110602748289361; y=4,15709396494785
i=233 x=0,123880409816701; y=4,13113493262068
i=234 x=0,136857957625467; y=4,10454988354035
i=235 x=0,149492160234786; y=4,07738356276999
i=236 x=0,161742441187955; y=4,04968444111815
i=237 x=0,17357160245542; y=4,02150348606491
i=238 x=0,184946367896042; y=3,99289291804197
i=239 x=0,195837724655123; y=3,96390504148766
i=240 x=1,68488285805468; y=1,48983894736634
i=241 x=1,67446679175694; y=1,46169007535442
i=242 x=1,66519076418157; y=1,43422865759711
i=243 x=1,65711581239299; y=1,40744566987462
i=244 x=1,65030736911229; y=1,38132663134829
i=245 x=1,64483492141724; y=1,35585021887969
i=246 x=1,64077119352168; y=1,33098667380348
i=247 x=1,63819064545944; y=1,30669614302366
i=248 x=1,63716710245811; y=1,28292725130139
i=249 x=1,63777047128927; y=1,259616379713
i=250 x=1,6400628045756; y=1,23668822490469
i=251 x=1,64409438401495; y=1,21405807587656
i=252 x=1,64990078367289; y=1,19163577666982
i=253 x=1,6575017588728; y=1,16933069950752
i=254 x=1,66690222874698; y=1,14705662836296
i=255 x=1,67809490615859; y=1,12473555022295
i=256 x=1,69106371374182; y=1,10229987165383
i=257 x=1,70578716175013; y=1,07969314388017
i=258 x=1,72224117497311; y=1,05686970402702
i=259 x=1,74040118906655; y=1,03379369260352
i=260 x=1,76024355643096; y=1,01043780547911
i=261 x=1,78174639901097; y=0,986782000502839
i=262 x=1,80489006381822; y=0,96281226534487
i=263 x=-0,461981482843384; y=4,76039766295684
i=264 x=-0,455372942915526; y=4,75649448833468
i=265 x=-0,448630666823; y=4,7524645816679
i=266 x=-0,441751117534339; y=4,74830248656056
i=267 x=-0,434730664702366; y=4,74400246001939
i=268 x=-0,427565584370563; y=4,73955845511653
i=269 x=-0,420252059085142; y=4,7349641025176
i=270 x=-0,412786178487015; y=4,7302126908041
i=271 x=-0,405163940469787; y=4,72529714551743
i=272 x=-0,397381253003079; y=4,72021000685005
i=273 x=-0,389433936736371; y=4,71494340590919
i=274 x=-0,381317728516568; y=4,70948903947925
i=275 x=-0,373028285973569; y=4,7038381432121
i=276 x=-0,364561193352657; y=4,69798146317954
i=277 x=-0,355911968800975; y=4,69190922573088
i=278 x=-0,347076073348396; y=4,68561110561112
i=279 x=-0,338048921861689; y=4,67907619231369
i=280 x=-0,328825896295501; y=4,67229295466677
i=281 x=-0,319402361615776; y=4,66524920368666
i=282 x=-0,309773684831406; y=4,65793205377789
i=283 x=-0,299935257639827; y=4,65032788242015
i=284 x=-0,289882523272846; y=4,64242228856204
