i=0 x=-2,82842712474619; y=-2,60215295476649
i=1 x=-2,82842712474619; y=-2,65872149726142
i=2 x=-2,82842712474619; y=-2,71529003975634
i=3 x=-2,82842712474619; y=-2,77185858225127
i=4 x=-2,77185858225127; y=-2,65872149726142
i=5 x=-2,77185858225127; y=-2,71529003975634
i=6 x=-2,77185858225127; y=-2,77185858225127
i=7 x=-2,71529003975634; y=-2,65872149726142
i=8 x=-2,71529003975634; y=-2,71529003975634
i=9 x=-2,71529003975634; y=-2,77185858225127
i=10 x=-2,65872149726142; y=-2,71529003975634
i=11 x=-2,65872149726142; y=-2,77185858225127
i=12 x=-2,6021529547665; y=-2,71529003975634
i=13 x=-2,6021529547665; y=-2,77185858225127
i=14 x=-2,54558441227157; y=-2,77185858225127
i=15 x=-2,48901586977665; y=-2,77185858225127
i=16 x=-2,3758787847868; y=-2,82842712474619
i=17 x=-2,43244732728172; y=-2,82842712474619
i=18 x=-2,48901586977665; y=-2,82842712474619
i=19 x=-2,54558441227157; y=-2,82842712474619
i=20 x=-2,60215295476649; y=-2,82842712474619
i=21 x=-2,65872149726142; y=-2,82842712474619
i=22 x=-2,71529003975634; y=-2,82842712474619
i=23 x=-2,77185858225127; y=-2,82842712474619
i=24 x=-2,48901586977665; y=-2,77185858225127
i=25 x=-2,54558441227157; y=-2,77185858225127
i=26 x=-2,60215295476649; y=-2,77185858225127
i=27 x=-2,65872149726142; y=-2,77185858225127
i=28 x=-2,71529003975634; y=-2,77185858225127
i=29 x=-2,77185858225127; y=-2,77185858225127
i=30 x=-2,60215295476649; y=-2,71529003975634
i=31 x=-2,65872149726142; y=-2,71529003975634
i=32 x=-2,71529003975634; y=-2,71529003975634
i=33 x=-2,77185858225127; y=-2,71529003975634
i=34 x=-2,71529003975634; y=-2,65872149726142
i=35 x=-2,77185858225127; y=-2,65872149726142
