z[0]=x0,964218941718304; y=0,265107209316597
z[1]=x-0,356195363111127; y=0,934411506402898
z[2]=x-0,967718924131645; y=0,252031910434951
z[3]=x-0,974116745459526; y=0,226045495897047
z[4]=x-0,974157201939966; y=0,225871082497286
z[5]=x-0,976568857445149; y=0,215205173423589
z[6]=x-0,987222040257957; y=0,159350692590015
z[7]=x-0,999814260079329; y=0,0192729173200202
z[8]=x-0,666314222835384; y=-0,745671077920605
z[9]=x-0,516307438451752; y=-0,856403309778395
z[10]=x-0,410294360853735; y=-0,911953144329041
z[11]=x-0,214826163030305; y=-0,976652302345966
z[12]=x0,993159357329455; y=-0,116766822980437
z[13]=x0,993822112138119; y=-0,11098472609025
z[14]=x0,994570199364317; y=-0,104067855442607
z[15]=x1; y=0
